artist	track
The Black Keys	Gotta Get Away
Titus Andronicus	I Lost My Mind ( +@ )
Coldplay	Lovers in Japan
Something Corporate	Cavanaugh Park
Yellowcard	Here I Am Alive
The Shins	Phantom Limb
Whiskeytown	"Mirror, Mirror"
Big Thief	Simulation Swarm
Arcade Fire	Ready to Start
The Beatles	A Day In The Life - Remastered 2009
Angels & Airwaves	A Little's Enough
Los Campesinos!	For Flotsam
Tiffany	I Think We're Alone Now
Kelly Clarkson	Since U Been Gone
Fontaines D.C.	Television Screens
Red Hot Chili Peppers	Strip My Mind
Ethel Cain	Fuck Me Eyes
Wednesday	Women Without Whiskey (Drive-By Truckers)
Mischief Brew	Roll Me Through The Gates Of Hell
Wilco	Pot Kettle Black
Foo Fighters	Walk
The 1975	Sex
R.E.M.	Undertow
The Strokes	Under Cover of Darkness
blink-182	My Pet Sally
Pinegrove	Rings
The War On Drugs	The Haunting Idle
Uncle Tupelo	Life Worth Livin'
Modest Mouse	Paper Thin Walls
Soccer Mommy	newdemo
Keith Urban	Somebody Like You
Black Sabbath	Paranoid - 2012 - Remaster
The 1975	Be My Mistake
R.E.M.	Little America - Original Album Version
The Beach Boys	God Only Knows - Mono
The Cure	Pictures of You - 2010 Remaster
Ryan Beatty	Haircut
Wilco	I Am Trying to Break Your Heart
The Strokes	Under Control
Belle and Sebastian	Another Sunny Day
Titus Andronicus	Still Life With Hot Deuce On Silver Platter
Talking Heads	This Must Be the Place (Naive Melody) - 2005 Remaster
Perfume Genius	Just a Touch
TLC	Waterfalls
Geese	Long Island City Here I Come
Sufjan Stevens	All of Me Wants All of You
This Is Lorelei	Perfect Hand
Waxahatchee	Sparks Fly
Phoebe Bridgers	Graceland Too
New Order	Bizarre Love Triangle
The Fratellis	Whistle For The Choir
R.E.M.	We Walk
Daft Punk	Doin' it Right (feat. Panda Bear)
Pale Waves	Television Romance
Parquet Courts	Almost Had to Start a Fight/In and Out of Patience
Jimmy Eat World	Table For Glasses
Radiohead	Like Spinning Plates
blink-182	Feeling This
Arcade Fire	Neighborhood #3 (Power Out)
Pinegrove	Old Friends
R.E.M.	Every Day Is Yours To Win
George Michael	Faith - Remastered
The Format	On Your Porch
fun.	Benson Hedges
Outkast	Hey Ya!
Paramore	Hard Times
Frightened Rabbit	Bright Pink Bookmark
Joy Division	Disorder - 2007 Remaster
The Killers	Heart Of A Girl
R.E.M.	Talk About The Passion
Pinegrove	Skylight
AKAI SOLO	Ocean Hue Hours
Pearl Jam	Daughter
Billy Ocean	"Get Outta My Dreams, Get Into My Car"
blink-182	Cynical
Oso Oso	get there (when you're there)
Spoon	Advance Cassette
The Hotelier	Housebroken
Wilco	I Must Be High
Rush	The Spirit Of Radio
Corinne Bailey Rae	Put Your Records On
Third Eye Blind	Semi-Charmed Life
The Beatles	And Your Bird Can Sing - Remastered 2009
blink-182	Point of View
The Impressions	We're A Winner
Spoon	Everything Hits At Once
SZA	20 Something
The Cure	Alone
PUP	Full Blown Meltdown
"Defiance, Ohio"	The Reason
Houston Calls	The Better Part Of Valor
The Ataris	San Dimas High School Football Rules
Best Coast	When I'm With You
Oso Oso	that's what time does
KennyHoopla	sore loser//
Real Estate	Flowers
R.E.M.	We All Go Back To Where We Belong
